/* tämä on kommenttirivin aloitusmerkki;;
;;
/* Tässä tiedosssa on väittämiä testausta varten;;
/* Tässä väittämiä testausta varten;;
;;
/* Yksi tapaus esitetään aina kolmella rivillä, eli ensimmäisellä Tiannekuvaus, seuraavalla tyypin X reagointi ja kolmannella tyypi Y reagointi;;
/* B2 -tagilla merkityt rivit on 3-7-8 tapauksia;;
/* B2-XvsY tarkoittaa tapausta, jossa verrataan tyyppejä X ja Y;;
/* TB2 -alkuisella tagilla merkityt rivit on 3-7-8 tapauksia varten tehdyt LISÄ-kysymykset, jos ei tyyppi erotu varsinaisilla kysymyksillä ;;
/* C2 -tagilla merkityt rivit on 2-6-9 tapauksia ja D2-tagilla 1-5-6 tapauksia;;
;;
/* Huom! Tyyppi 6 on tarkoituksella mukana C ja D väittämissä;;
;;
/* Huom! Perustilanteita voi olla maksimissaan 9 kpl (eli 3 per ryhmä) ja lisäkysymyksiä 6 (eli 3 per ryhmä);;
;;
;;
;;
/*  3 vs 8 kysymykset;;
;;
B2-3vs8;1;Ajatellaan, että olet pitämässä esitelmää tärkeälle yleisölle. Kumpi toimintamalli seuraavista on sinulle luontaisempaa?
B2a-3;2;Olen valmis mukauttamaan omaa tyyliäni ja viestiäni, jotta saan yleisön suosion.
B2b-8;3;Menen yleisön eteen itsenäni ja kerron asiat sellaisina, kuin ne minusta on.
;;
B2-3vs8;5;Olet palaverissa, jossa on mukana ihmisiä, jotka mahdollisesti voivat vaikuttaa omiin ura-/työmahdollisuuksiisi. Kumpi toimintamalli seuraavista on sinulle luontaisempaa?
B2a-3;6;Voisin jättää oman aidon mielipiteeni sanomatta, jos epäilen että se saattaa heikentää uramahdollisuuksiani jatkossa.
B2b-8;7;Sanon suoraan oman mielipiteeni ja hyväksyn sen, mitä siitä mahdollisesti seuraa urani jatkon kannalta.
;;
B2-3vs8;9;Olet mukana verkostossa, jossa tiedät, että sinulla on hyvä maine muiden silmissä. Kumpi toimintamalli seuraavista on sinulle luontaisempaa?
B2a-3;10;Vaikka olisin eri mieltä enemmistön kanssa, jätän ilmaisematta mielipiteeni, ja sopeudun enemmistön kantaan, koska näin en vaaranna hyvää mainettani ryhmän silmissä.
B2b-8;11;Koen tärkeänä, että ilmaisen suoraan oman aidon mielipiteeni asiaan, vaikka edustaisin vähemmistöä ryhmässä.
;;
B2-3vs8;13;Kuvittele itsesi esihenkilön asemaan. Ajatellaan että joutuisit esittämään johtamallesi työyhteisölle tutkimustuloksia, joiden tiedät sisältävän sekä positiivisia, että negatiivisia tuloksia teistä työyhteisönä. Kumpi toimintamalli seuraavista on sinulle luontaisempaa?
B2a-3;14;Yritän korostaa positiivisia tuloksia ja saada näin motivoitua tiimin keskittymään vahvuuksiinsa.
