/* tämä on kommenttirivin aloitusmerkki;;
;;
/* Tässä tiedosssa on väittämiä testausta varten;;
/* Tässä väittämiä testausta varten;;
;;
"/* A1 -tagilla merkityt rivit on 4-tyyppiväittämiä,johon mahdollinen 4-tyyppi reagoi myönteisesti, ""kyllä"" vastauksella";;
/* A11 -tagilla merkityt rivit on samanlaisia 4-tyyppiväittämiä,jmutta nämä ovat lisäkysymyksiä, jos ensimmäisilleä kysymyksillä ei saada selkeää tulosta;;
/* B, C ja D tagit ovat vastaavasti koodattuja. B tarkoittaa 3,7,8 väittämiä, C tarkoittaa 2,6,9 väittämiä ja D tarkoittaa 1,5,6 väittämiä;;
;;
/* Huom! Tyyppi 6 on tarkoituksella mukna C ja D väittämissä;;
;;
/* Huom! Perusväittämiä voi olla maksimissaan 40 kpl (eli 8 per ryhmä) ja lisäkysymyksiä10 (eli 5 per ryhmä);;
/* Kopioitu EG testikansiosta 15.9 ;;
/* Nyt  näitä on 7 peruskysymystä ja 3 lisäkysymystä - tavoite on 6+3;;
/* 23.9.25 Nyt  näitä on 9 peruskysymystä ja 3 lisäkysymystä - tavoite on 6+3;;
;;
/* Tässä nelosväittämät;;
/* Huom! A11 - kysymykset ovat  samoja kuin peruskysymykset, tarkoituksella;;
A1;1;Minusta tuntuu usein, etten aivan kuulu joukkoon, vaikka olisin osa ryhmää.
A1;2;Minulle on tyypillistä ilmaista tunteitani ja persoonallisuuttani luovalla ja omaperäisellä tavalla
A1;3;Palaan mielessäni usein menneisiin kokemuksiin ja niiden herättämiin tunteisiin.
A1;4;Minulle aitous jopa tärkeämpää, kuin se että kaikki hyväksyisivät minut.
A1;5;Olen erityisen herkkä estetiikalle, kauneudelle tai ympäristöni tunnelmille.
A1;6;Luulen että tunteeni ovat syvempiä tai monimutkaisempia  kuin ihmisllä keskimäärin.
A1;7;Minulle on tyypillistä ryhmässä  aistia, missä tunnetilassa muut ovat, ja nämä tunnetilat vaikuttavat voimakkaasti omaan olotilaani.
A1;8;"Ajatellaan, että olet onnistunut liittymään johonkin ryhmään tai  työyhteisöön, jossa voit hyvin. Kun sinulta kysyttäisiin, miksi olet tyytyväinen kuulumisestasi tähän ryhmään, vastauksesi voisi luontevasti olla esimerkiksi:"" Vaikka ryhmässä on välillä voimakkaitakin erilaisia mielipiteitä, se tuntuu aidosti erilaiselta. Ihmiset ovat luovia ja syviä ja arvostavat yksilöllisyyttä."""
A1;9;Minun on vaikea teeskennellä olevani hyväntuulinen, jos oikeasti en ole.
A11;10;Minun on vaikea teeskennellä olevani hyväntuulinen, jos oikeasti en ole.
A11;11;Minulle on tyypillistä ryhmässä  aistia, missä tunnetilassa muut ovat, ja nämä tunnetilat vaikuttavat voimakkaasti omaan olotilaani.
