"/* tämä on kommenttirivin aloitusmerkki;	";
/* Muista tallettaa tämä tiedosto UTF-8 muodossa, jotta skandit näkyvät kunnolla;
;
"/* Tässä tiedostossa on lyhyt tyyppikuvaukset. Yhden tyypin kuvaus on vain ja ainostaan yhdelläriville""	";
"	";
"	";
1;Ykkönen on tarkka ja käytännöllinen, asioihin keskittyvä ihminen. Ykkönen huomaa helposti virheet ja pyrkii tekemään työstään ja ympäristöstään yhä parempaa. Ykkönen on tunnollinen työssään, periaatteellinen elämässään ja vaihtaessaan vapaalle hän pitää hyvästä huumorista ja leikkisyydestäkin.
;"	"
2;Kakkonen on myönteinen ja lämmin tunneihminen, jonka huomio usein suuntautuu muihin ihmisiin ja heidän tarpeisiinsa. Kakkoselle on tärkeää olla avuksi toisille. Kakkosen on helppo tutustua uusiin ihmisiin ja tulla toimeen heidän kanssaan. Ihmiset ja ihmissuhteet ovat kakkosen juttu.
;"	"
3;Kolmonen on tehokas, kiireinen ja energinen ihminen, joka pystyy saavuttamaan tavoitteensa. Kolmoselle on tärkeää menestyä ja olla paras valitsemillaan alueilla. Kolmosella on kyky motivoida muutkin mukaan vauhdikkaaseen tekemiseensä ja saada näin ansaittua arvostusta yhteisössään.
;"	"
4;Nelonen on intensiivinen ja vahva tunneihminen, jolle syvällisyys, aitous ja merkityksellisyys ovat elämän ydinasioita. Nelonen vaistoaa helposti tunneilmapiirin ja hänelle menneisyyden tapahtumat ovat tärkeitä. Nelosen erityinen lahja on kyky luoda uutta ja ainutlaatuista.
;"	"
5;Vitonen on asiakeskeinen ajattelija, joka usein tarkkailee tilanteita hieman etäämmältä. Vitonen ei näytä kovin helposti tunteitaan. Hän keskittyy mielellään monimutkaisempaankin tietoon ja on hyvä ymmärtämään isoja asiakokonaisuuksia.
;"	"
6;Kutonen on intensiivinen pohtija, jonka huomio kiinnittyy tulevaisuuden riskeihin ja epävarmuuksiin. Kutoselle on tärkeää olla tunnollinen ja luotettava ryhmänsä jäsen. Kuutosen erityislahja on kyky sitoutua vahvasti asioihin ja ihmisiin, jotka hän kokee tärkeiksi.
;"	"
7;Seiska on optimistinen, vauhdikas ja ideoiva ihminen, jonka katse suuntautuu vahvasti tulevaisuuteen. Seiska oivaltaa asioita nopeasti ja löytää helposti uusia vaihtoehtoja. Huumori, hauskanpito ja positiivisuus kuuluvat Seiskan elämään, jossa usein tapahtuu monta asiaa samanaikaisesti.
;"	"
8;Kasi on voimakas ja intensiivinen tahtoihminen, jolle oman itsenäisyyden säilyttäminen on tärkeää. Kasi nauttii haasteista eikä pelkää haastaa toisia tai ottaa epäkohtia esille. Kasin on helppo ottaa vastuuta ja tarvittaessa pitää vahvasti omiensa puolta.
;"	"
9;Ysi on myönteinen, rauhallinen, laatua arvostava tahtoihminen, jolle sovun säilyttäminen on ensiarvoisen tärkeää. Ysin on helppo ymmärtää ja tukea toisia sekä aidosti hyväksyä muut. Ysi osaa sopeutua tilanteeseen kuin tilanteeseen ja hallitsee leppoisan läsnäolon taidon.
